logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano
est das ubaias;195;apto 601 edf eternity;700000,00;Casa Amarela;Recife;PE;2008;1755,9;132,88;0,01765;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-03-09;Bom;Apartamento;0,00;61999;-8.030214;-34.918484;2026
est das ubaias;195;apto 1302 edf eternity;700000,00;Casa Amarela;Recife;PE;2008;1755,9;128,66;0,01708;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-07;Bom;Apartamento;0,00;61999;-8.030214;-34.918484;2026
est das ubaias;105;apto 2301 edf akhinos;475000,00;Casa Amarela;Recife;PE;2008;1850,57;107,13;0,01005;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-03-26;Bom;Apartamento;322023,70;61999;-8.029813;-34.917857;2026
est das ubaias;105;apto 302 edf akhinos;450000,00;Casa Amarela;Recife;PE;2008;1850,57;106,03;0,00994;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-29;Bom;Apartamento;0,00;61999;-8.029813;-34.917857;2026
est das ubaias;105;apto 901 edf akhinos;466000,00;Casa Amarela;Recife;PE;2008;1850,57;107,13;0,01005;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-03-03;Bom;Apartamento;220000,00;61999;-8.029813;-34.917857;2026
est das ubaias;75;apto 2201 edf luar das ubaias;850000,00;Casa Amarela;Recife;PE;2009;2088,25;174,47;0,01724;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-03-23;Bom;Apartamento;0,00;61999;-8.029684;-34.917624;2026
rua dr genaro guimaraes;145;apto 3002 edf engenho casa forte;1000000,00;Casa Amarela;Recife;PE;2010;2961,05;167,91;0,00952;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-18;Bom;Apartamento;631657,57;26301;-8.029601;-34.919999;2026
rua dr genaro guimaraes;145;apto 2603 edf engenho casa forte;1056000,00;Casa Amarela;Recife;PE;2010;2961,05;167,91;0,00952;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-03-03;Bom;Apartamento;0,00;26301;-8.029601;-34.919999;2026
rua dr genaro guimaraes;145;apto 1901 edf engenho casa forte;1130000,00;Casa Amarela;Recife;PE;2010;2961,05;167,91;0,00952;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-29;Bom;Apartamento;268036,95;26301;-8.029601;-34.919999;2026
rua dr genaro guimaraes;85;apto 502 edf solar das acacias;210000,00;Casa Amarela;Recife;PE;2005;1038,45;121,95;0,0274;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-09;Bom;Apartamento;0,00;26301;-8.029652;-34.919224;2026
rua dr genaro guimaraes;85;apto 202 edf solar das acacias;450000,00;Casa Amarela;Recife;PE;2005;1038,45;121,95;0,0274;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-03-26;Bom;Apartamento;0,00;26301;-8.029652;-34.919224;2026
est das ubaias;200;apto 2104 edf ubaias prince;470000,00;Casa Amarela;Recife;PE;2012;1720,24;97,34;0,00865;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-02-02;Bom;Apartamento;0,00;61999;-8.030038;-34.919018;2026
est das ubaias;200;apto 2201 edf ubaias prince;450000,00;Casa Amarela;Recife;PE;2012;1720,24;96,63;0,00858;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-06;Bom;Apartamento;0,00;61999;-8.030038;-34.919018;2026
est das ubaias;200;apto 2201 edf ubaias prince;450000,00;Casa Amarela;Recife;PE;2012;1720,24;96,63;0,00858;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-06;Bom;Apartamento;0,00;61999;-8.030038;-34.919018;2026
est das ubaias;200;apto 1201 edf ubaias prince;450000,00;Casa Amarela;Recife;PE;2012;1720,24;96,63;0,00858;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-13;Bom;Apartamento;0,00;61999;-8.030038;-34.919018;2026
est das ubaias;200;apto 2203 edf ubaias prince;450000,00;Casa Amarela;Recife;PE;2012;1720,24;97,34;0,00865;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-09;Bom;Apartamento;0,00;61999;-8.030038;-34.919018;2026
est das ubaias;200;apto 1202 edf ubaias prince;430000,00;Casa Amarela;Recife;PE;2012;1720,24;96,63;0,00858;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-23;Bom;Apartamento;0,00;61999;-8.030038;-34.919018;2026
est do encanamento;1048;apto 1005 edf studio ubaias;318000,00;Casa Amarela;Recife;PE;2017;1057,55;62,76;0,0093;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-05;Bom;Apartamento;0,00;21385;;;2026
est do encanamento;1048;apto 805 edf studio ubaias;300000,00;Casa Amarela;Recife;PE;2017;1057,55;62,76;0,0093;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-04-09;Bom;Apartamento;0,00;21385;;;2026
est do encanamento;1166;apto 1101 edf villa prince;670000,00;Casa Amarela;Recife;PE;2010;1267,1;110,76;0,0147;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-25;Bom;Apartamento;0,00;21385;-8.029655;-34.920397;2026
est do encanamento;1166;apto 1201 edf villa prince;570000,00;Casa Amarela;Recife;PE;2010;1267,1;110,76;0,0147;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-07-21;Bom;Apartamento;0,00;21385;-8.029655;-34.920397;2026
est do encanamento;1166;apto 1503 edf villa prince;550000,00;Casa Amarela;Recife;PE;2010;1267,1;98,5;0,01307;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-03-05;Bom;Apartamento;0,00;21385;-8.029655;-34.920397;2026
rua conselheiro nabuco;181;apto 1201 edf bellagio;880000,00;Casa Amarela;Recife;PE;2009;1728,27;197,12;0,02107;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-02-27;Bom;Apartamento;0,00;45586;-8.030222;-34.915616;2026
rua conselheiro nabuco;181;apto 101 edf bellagio;900000,00;Casa Amarela;Recife;PE;2009;1728,27;197,12;0,02107;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-18;Bom;Apartamento;0,00;45586;-8.030222;-34.915616;2026
rua conselheiro nabuco;181;apto 101 edf bellagio;900000,00;Casa Amarela;Recife;PE;2009;1728,27;197,12;0,02107;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-18;Bom;Apartamento;0,00;45586;-8.030222;-34.915616;2026
rua conselheiro nabuco;151;apto 0702 edf solar trindade;1200000,00;Casa Amarela;Recife;PE;1998;1461,2;301;0,03125;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-01-29;Bom;Apartamento;960000,00;45586;-8.030416;-34.915441;2026
est do encanamento;608;apto 703 edf cap trinidad;700000,00;Casa Amarela;Recife;PE;2010;1800;187,37;0,01666;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-10;Bom;Apartamento;232000,00;21385;-8.031028;-34.915639;2026
est do encanamento;608;apto 202 edf cap trinidad;800000,00;Casa Amarela;Recife;PE;2010;1800;187,37;0,01666;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-01;Bom;Apartamento;368500,00;21385;-8.031028;-34.915639;2026
est do encanamento;608;apto 403 edf cap trinidad;850000,00;Casa Amarela;Recife;PE;2010;1800;187,37;0,01666;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-04-22;Bom;Apartamento;0,00;21385;-8.031028;-34.915639;2026
rua joao barbalho;121;apto 601 edf porto real;395000,00;Casa Amarela;Recife;PE;2010;943,5;97,37;0,01913;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-04-07;Bom;Apartamento;0,00;33367;-8.03093;-34.91589;2026
av professor jose dos anjos;110;apto 702 edf napoles;410000,00;Casa Amarela;Recife;PE;2014;1217,3;104,1;0,02083;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-02-20;Bom;Apartamento;0,00;35270;-8.026928;-34.908633;2026
av professor jose dos anjos;110;apto 802 edf napoles;430000,00;Casa Amarela;Recife;PE;2014;1217,3;104,1;0,02083;Médio;Apartamento > 4 Pavimentos;COMERCIAL COM LIXO ORGANICO;2026-01-09;Bom;Apartamento;234519,89;35270;-8.026928;-34.908633;2026
av professor jose dos anjos;110;apto 1002 edf napoles;475000,00;Casa Amarela;Recife;PE;2014;1217,3;104,1;0,02083;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-29;Bom;Apartamento;275000,00;35270;-8.026928;-34.908633;2026
rua arnoldo magalhaes;230;apto 104 edf pedra real;301233,53;Casa Amarela;Recife;PE;2014;867;85,04;0,01928;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-25;Bom;Apartamento;0,00;8168;-8.025798;-34.909052;2026
rua arnoldo magalhaes;230;apto 402 edf pedra real;310000,00;Casa Amarela;Recife;PE;2014;867;85,2;0,01932;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-03-23;Bom;Apartamento;0,00;8168;-8.025798;-34.909052;2026
rua arnoldo magalhaes;230;apto 404 edf pedra real;297990,37;Casa Amarela;Recife;PE;2014;867;85,04;0,01928;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-06;Bom;Apartamento;234400,00;8168;-8.025798;-34.909052;2026
av professor jose dos anjos;100;apto 502 edf veneza;320000,00;Casa Amarela;Recife;PE;2011;733,65;78,04;0,04166;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-07-07;Bom;Apartamento;0,00;35270;-8.026923;-34.908313;2026
rua bezerros;189;apto 02 edf bezerros;178000,00;Casa Amarela;Recife;PE;2006;158,6;44,24;0,25;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2026-01-22;Bom;Apartamento;0,00;11444;-8.026686;-34.908309;2026
rua desembargador motta junior;54;apto 204 edf angel - bloco a;540000,00;Casa Amarela;Recife;PE;2016;2537,28;147;0,00934;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-08-05;Bom;Apartamento;185000,00;45292;;;2026
rua desembargador motta junior;54;apto 201 edf angel - bloco b;565000,00;Casa Amarela;Recife;PE;2016;2537,28;147,19;0,00936;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-18;Bom;Apartamento;265000,00;45292;;;2026
rua desembargador motta junior;190;apto 1202 edf. estacao leonardo falcao;430000,00;Casa Amarela;Recife;PE;2018;1072,42;122,13;0,02176;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-04-15;Bom;Apartamento;344000,00;45292;;;2026
rua desembargador motta junior;190;apto 902 edf. estacao leonardo falcao;400000,00;Casa Amarela;Recife;PE;2018;1072,42;108,52;0,02017;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-29;Bom;Apartamento;0,00;45292;;;2026
rua desembargador motta junior;190;apto 303 edf. estacao leonardo falcao;383893,47;Casa Amarela;Recife;PE;2018;1072,42;112,17;0,02089;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-14;Bom;Apartamento;0,00;45292;;;2026
rua desembargador motta junior;190;apto 704 edf. estacao leonardo falcao;452547,50;Casa Amarela;Recife;PE;2018;1072,42;112,17;0,02089;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-04-23;Bom;Apartamento;0,00;45292;;;2026
rua arnoldo magalhaes;79;apto 904 edf. porto trindade;440000,00;Casa Amarela;Recife;PE;2017;1251,45;95,82;0,02084;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-03-24;Bom;Apartamento;255277,80;8168;;;2026
rua bela vista;231;apto 1602 edf. paulo ferreira;379302,03;Casa Amarela;Recife;PE;2022;1394,25;99,15;0,01375;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-03-16;Bom;Apartamento;0,00;10642;;;2026
