"logradouro";"numero";"complemento";"valor_avaliacao";"bairro";"cidade";"uf";"ano_construcao";"area_terreno";"area_construida";"fracao_ideal";"padrao_acabamento";"tipo_construcao";"tipo_ocupacao";"data_transacao";"estado_conservacao";"tipo_imovel";"sfh";"cod_logradouro";"latitude";"longitude";"ano";"Distrito"
"rua engenheiro sampaio";"68";"apto 1205 splendid rosarinho";"400000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-06-19";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1301 splendid rosarinho";"266840.35";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-12-17";"Bom";"Apartamento";"199200.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1301 splendid rosarinho";"260000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-07-28";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1303 splendid rosarinho";"265000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-07-13";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1304 splendid rosarinho";"264897.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-07-17";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1503 splendid rosarinho";"265000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-05-21";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1602 splendid rosarinho";"10281.43";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-09-14";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1602 splendid rosarinho";"410000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-06-01";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1603 splendid rosarinho";"279600.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-06-17";"Bom";"Apartamento";"160000.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 1504 splendid rosarinho";"265000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-04-23";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
