bairro_padronizado;endereco_edificio;logradouro_canonico;total_transacoes;total_revendas;m2_privativo_medio;valor_medio_corrigido;area_privativa_media;latitude;longitude
Afogados;Rua Coroata, 21 - Afogados;Rua Coroata;2;0;2058.31;134624.66;65.34;-8.06968;-34.913378
Afogados;Rua Coronel Alfredo Duarte, 244 - Afogados;Rua Coronel Alfredo Duarte;2;2;2499.68;957901.74;383.21;-8.070932;-34.909944
Afogados;Rua Coronel Alfredo Duarte, 362 - Afogados;Rua Coronel Alfredo Duarte;2;2;2672.5;988211.01;369.77;-8.070477;-34.91086
Afogados;Rua Coronel Alfredo Duarte, 610 - Afogados;Rua Coronel Alfredo Duarte;2;2;2987.02;172052.54;57.6;-8.069258;-34.913326
Afogados;Rua Coronel Oliveira, 297 - Afogados;Rua Coronel Oliveira;2;2;2538.65;2668274.1;1051.06;-8.068648;-34.912486
Afogados;Rua Escritor Alvaro Lins, 176 - Afogados;Rua Escritor Alvaro Lins;2;1;4070.82;182128.27;44.74;-8.068898;-34.912611
Afogados;Rua Jacira, 174 - Afogados;Rua Jacira;2;0;2239.2;193480.37;86.42;-8.07609;-34.910484
Afogados;Rua Joinvile, 245 - Afogados;Rua Joinvile;2;0;2524.07;207579.54;82.24;-8.070609;-34.91203
Afogados;Rua Motocolombo, 105 - Afogados;Rua Motocolombo;2;2;2767.52;4591431.97;1659.04;-8.081297;-34.905678
Afogados;Rua Motocolombo, 190 - Afogados;Rua Motocolombo;2;2;1186.45;211139.47;177.96;-8.08174;-34.906473
Afogados;Rua Odilon Tucuman, 112 - Afogados;Rua Odilon Tucuman;2;2;1968.38;1800354.81;914.64;-8.081086;-34.914745
Afogados;Rua Odilon Tucuman, 34 - Afogados;Rua Odilon Tucuman;2;2;2066.31;526722.74;254.91;-8.081086;-34.914745
Afogados;Rua Olegario Mariano, 65 - Afogados;Rua Olegario Mariano;2;2;3505.05;215841.06;61.58;-8.081978;-34.921728
Afogados;Rua Piraja, 208 - Afogados;Rua Piraja;2;2;2568.4;922852.66;359.31;-8.076122;-34.912245
Afogados;Rua Sao Miguel, 1025 - Afogados;Rua Sao Miguel;2;2;3380.52;194379.59;57.5;-8.080564;-34.912368
Afogados;Rua Vinte E Um De Abril, 974 - Afogados;Rua Vinte E Um De Abril;2;2;5171.46;1611219.56;311.56;-8.075568;-34.915384
Afogados;Rua Vinte E Um De Abril, 993 - Afogados;Rua Vinte E Um De Abril;2;2;3363.42;366679.73;109.02;-8.075817;-34.915943
Afogados;Rua Alexandre Rodrigues Ferreira, 163 - Afogados;Rua Alexandre Rodrigues Ferreira;1;0;1782.68;2070249.16;1161.31;-8.080237;-34.922238
Afogados;Rua Alexandre Selva, 144 - Afogados;Rua Alexandre Selva;1;0;3545.68;579719.22;163.5;-8.077208;-34.915979
Afogados;Rua Alexandre Selva, 176 - Afogados;Rua Alexandre Selva;1;0;5412.82;687482.76;127.01;-8.076856;-34.91586
Afogados;Rua Alexandre Selva, 267 - Afogados;Rua Alexandre Selva;1;0;2136.17;664754.96;311.19;-8.075936;-34.916033
Afogados;Rua Antonio Macario, 110 - Afogados;Rua Antonio Macario;1;0;9256.6;1897417.41;204.98;-8.07609;-34.910484
Afogados;Rua Augusto Calheiros, 12 - Afogados;Rua Augusto Calheiros;1;0;4045.38;305911.41;75.62;-8.082009;-34.909095
Afogados;Rua Augusto Calheiros, 25 - Afogados;Rua Augusto Calheiros;1;0;3750.54;485695.36;129.5;-8.082179;-34.909106
